"대여소 번호","거치대","위도","경도","고도 표준편차(1km)"
"391.0","8.0","37.565437","126.97330500000001","106.80139470013947"
"400.0","15.0","37.587524","126.883003","94.0531197301855"
"401.0","15.0","37.586189000000005","126.881615","93.82004491858507"
"402.0","20.0","37.582855","126.87982199999999","93.19725028058362"
"403.0","20.0","37.58559","126.884727","94.1610002809778"
"405.0","8.0","37.582657","126.88578799999999","94.11942809083263"
"406.0","15.0","37.581314","126.88058500000001","93.28182837913629"
"407.0","8.0","37.580631","126.883675","93.6039270687237"
"408.0","20.0","37.580811","126.88665","94.21761076836792"
"409.0","25.0","37.579399","126.88916","94.44768583450211"
"410.0","10.0","37.577496000000004","126.887772","93.94200056038106"
"411.0","9.0","37.577995","126.891472","94.61463004484305"
"412.0","20.0","37.575802","126.890739","94.21804932735427"
"413.0","9.0","37.571476000000004","126.88968700000001","93.92197986577182"
"414.0","8.0","37.57822","126.89447","95.17012331838565"
"415.0","10.0","37.577469","126.89736200000002","95.4053826745164"
"416.0","12.0","37.575665","126.894447","95.11705404648558"
"417.0","20.0","37.575069","126.899918","95.6390284757119"
"418.0","10.0","37.570721","126.898979","95.2746027320881"
"419.0","21.0","37.56842","126.899429","94.9729880256196"
"420.0","40.0","37.566246","126.896179","94.56114508060034"
"421.0","8.0","37.565903000000006","126.90118400000001","95.20678154530295"
"422.0","13.0","37.569084000000004","126.894424","94.34466425188074"
"446.0","10.0","37.600128000000005","126.95783200000001","106.19654977375566"
"447.0","10.0","37.603992","126.961945","107.1864887879648"
"450.0","15.0","37.583603000000004","126.972549","107.60761265043381"
"451.0","13.0","37.583515000000006","126.97966799999999","108.5141337811363"
"500.0","10.0","37.54707","127.074272","121.70382695507487"
"501.0","15.0","37.537308","127.070351","120.6157471583033"
"502.0","15.0","37.531859999999995","127.06719199999999","120.18556415929204"
"503.0","15.0","37.536667","127.07359299999999","121.18859041816671"
"504.0","5.0","37.53297","127.07593500000002","121.33407140880155"
"505.0","10.0","37.537009999999995","127.082245","122.62634929421533"
"506.0","7.0","37.549061","127.05779299999999","119.20486591097594"
"507.0","7.0","37.548203","127.05711399999998","119.13388658367911"
"508.0","10.0","37.545165999999995","127.05751000000001","119.17552602436324"
"509.0","20.0","37.539654","127.05258899999998","118.21144278606965"
"510.0","10.0","37.541222","127.0438","117.00469094922737"
"511.0","16.0","37.544582","127.04460900000001","117.14412171507607"
"512.0","15.0","37.548561","127.045006","117.39657079646018"
"513.0","8.0","37.546307","127.049805","118.01491712707183"
"514.0","7.0","37.54258","127.063309","120.20410427066001"
"515.0","10.0","37.530235","127.08683","122.91127032240287"
"516.0","10.0","37.548404999999995","127.06936599999999","121.11993337034981"
"518.0","20.0","37.571526","127.03535500000001","116.50223588596981"
"519.0","20.0","37.566994","127.02991499999999","115.5895001396258"
"520.0","10.0","37.563858","127.03031899999999","115.69565217391305"
"521.0","14.0","37.561446999999994","127.03492","116.28953229398664"
"522.0","9.0","37.548640999999996","127.016426","113.27421593116847"
"523.0","11.0","37.543663","127.01406100000001","112.76775804661487"
"524.0","10.0","37.5522","127.02505500000001","114.68555555555555"
"525.0","20.0","37.558052","127.040352","117.06930141942667"
"526.0","10.0","37.563511","127.056725","119.62336578581363"
"529.0","15.0","37.561371","127.06366000000001","120.56774014436424"
"530.0","9.0","37.568748","127.030403","115.8358458961474"
"533.0","7.0","37.548149","127.02108799999999","113.83578363384188"
"534.0","20.0","37.548634","127.025726","114.58460683523201"
"535.0","16.0","37.553986","127.033592","115.76403557531962"
"536.0","8.0","37.55735","127.02921299999998","115.48247078464107"
"538.0","15.0","37.56765","127.05115500000001","119.29145728643216"
"539.0","10.0","37.559795","127.074203","122.00667037242913"
"540.0","8.0","37.55603","127.078644","122.72899276572065"
"542.0","19.0","37.535465","127.09448200000001","124.48001102839812"
"543.0","20.0","37.535969","127.094673","124.50951199338296"
"544.0","20.0","37.540729999999996","127.102905","126.02208724461623"
"546.0","8.0","37.532478000000005","127.08509099999999","122.79972451790634"
"548.0","20.0","37.52977","127.07486000000002","121.20414364640884"
"549.0","10.0","37.551224","127.089706","124.14920811336482"
